Mon Jul 25 11:58:35 2022    output.dat

         18432856 function calls (18081567 primitive calls) in 55.223 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18448    0.016    0.000    0.087    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:356(xmax)
    18348    0.004    0.000    0.004    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/cycler.py:227(<genexpr>)
    16924    0.033    0.000    0.108    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:727(__init__)
    16715    0.010    0.000    0.046    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1764(frozen)
    16680    0.007    0.000    0.043    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axis.py:1562(convert_units)
    16680    0.013    0.000    0.036    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/units.py:58(_is_natively_supported)
    16671    0.012    0.000    0.015    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:376(intervalx)
    16671    0.008    0.000    0.011    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:385(intervaly)
    16584    0.013    0.000    0.133    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2048(_process_single_axis)
    16582    0.004    0.000    0.004    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axis.py:1559(have_units)
    16525    0.005    0.000    0.008    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:208(_arrays_for_stack_dispatcher)
    16439    0.005    0.000    0.013    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:219(_vhstack_dispatcher)
    16427    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1148(_diff_dispatcher)
    16427    0.066    0.000    0.080    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1152(diff)
    16427    0.008    0.000    0.099    0.000 <__array_function__ internals>:2(diff)
    16423    0.007    0.000    0.064    0.000 <__array_function__ internals>:2(atleast_2d)
    16423    0.008    0.000    0.145    0.000 <__array_function__ internals>:2(vstack)
    16423    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:78(_atleast_2d_dispatcher)
    16423    0.034    0.000    0.049    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:82(atleast_2d)
    16423    0.018    0.000    0.114    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:223(vstack)
    16407    0.008    0.000    0.008    0.000 {built-in method math.ceil}
    16404    0.009    0.000    0.164    0.000 <__array_function__ internals>:2(nanmin)
    16404    0.007    0.000    0.123    0.000 <__array_function__ internals>:2(nanmax)
    16404    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:224(_nanmin_dispatcher)
    16404    0.049    0.000    0.145    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:228(nanmin)
    16404    0.035    0.000    0.107    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:343(nanmax)
    16404    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:339(_nanmax_dispatcher)
    16403    0.015    0.000    0.029    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/histograms.py:283(_ravel_and_check_weights)
    16403    0.050    0.000    0.153    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/histograms.py:360(_get_bin_edges)
    16403    0.025    0.000    0.095    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/histograms.py:454(_search_sorted_inclusive)
    16403    0.003    0.000    0.003    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/histograms.py:672(_histogram_dispatcher)
    16403    0.092    0.000    1.026    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/histograms.py:677(histogram)
    16403    0.009    0.000    1.050    0.000 <__array_function__ internals>:2(histogram)
    16403    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3265(_mean_dispatcher)
    16403    0.020    0.000    0.167    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3269(mean)
    16403    0.015    0.000    0.020    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:59(_count_reduce_items)
    16403    0.073    0.000    0.147    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:143(_mean)
    16403    0.009    0.000    0.186    0.000 <__array_function__ internals>:2(mean)
    14928    0.015    0.000    0.082    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3730(filled)
    14277    0.003    0.000    0.015    0.000 {built-in method builtins.next}
    14208    0.006    0.000    0.030    0.000 {method 'any' of 'numpy.ndarray' objects}
    13970    0.008    0.000    0.015    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/figure.py:45(_stale_figure_callback)
13816/8562    0.004    0.000    0.005    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2349(<lambda>)
