Mon Jul 25 11:58:35 2022    output.dat

         18432856 function calls (18081567 primitive calls) in 55.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3320    0.026    0.000    0.033    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:114(_broadcast_to)
63288/63284    0.026    0.000    0.204    0.000 {method 'view' of 'numpy.ndarray' objects}
   220832    0.026    0.000    0.026    0.000 {method 'update' of 'dict' objects}
    50254    0.026    0.000    0.151    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2589(amax)
28895/11993    0.026    0.000    0.030    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:136(_invalidate_internal)
        1    0.026    0.026    0.026    0.026 {built-in method matplotlib._png.write_png}
    13268    0.025    0.000    0.078    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:3087(_validate_converted_limits)
    10172    0.025    0.000    0.156    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:157(to_rgba)
    16403    0.025    0.000    0.095    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/histograms.py:454(_search_sorted_inclusive)
     3317    0.025    0.000    0.189    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:3104(set_xlim)
     1658    0.024    0.000    0.075    0.000 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     4974    0.024    0.000    0.134    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/collections.py:728(_set_edgecolor)
    56787    0.024    0.000    0.031    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:833(clean)
    20404    0.024    0.000    0.024    0.000 {method 'astype' of 'numpy.generic' objects}
    13272    0.024    0.000    0.043    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3214(__getitem__)
    23039    0.023    0.000    0.824    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:839(sort)
    47136    0.023    0.000    0.342    0.000 <__array_function__ internals>:2(any)
     3316    0.023    0.000    0.242    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/collections.py:290(draw)
    18663    0.023    0.000    0.028    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:163(set_children)
13454/6826    0.023    0.000    4.079    0.001 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:583(_unstale_viewLim)
38270/38268    0.023    0.000    0.110    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1015(get_points)
     3316    0.022    0.000    0.876    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/contour.py:1084(changed)
     3317    0.022    0.000    0.157    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:3498(set_ylim)
    13386    0.021    0.000    0.052    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:32(seterr)
     1658    0.021    0.000    0.299    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/collections.py:90(__init__)
     6720    0.021    0.000    0.040    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:72(_clip_dep_is_scalar_nan)
    47460    0.021    0.000    0.070    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1705(ravel)
        6    0.021    0.003    0.021    0.003 {pandas._libs.algos.groupsort_indexer}
    50246    0.020    0.000    0.229    0.000 <__array_function__ internals>:2(amin)
    47689    0.020    0.000    0.032    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1701(__init__)
    74807    0.020    0.000    0.020    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:82(__init__)
    16403    0.020    0.000    0.167    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3269(mean)
    50254    0.020    0.000    0.194    0.000 <__array_function__ internals>:2(amax)
    58850    0.019    0.000    0.019    0.000 {built-in method _abc._abc_instancecheck}
    67335    0.019    0.000    0.019    0.000 {method 'ravel' of 'numpy.ndarray' objects}
162862/162206    0.019    0.000    0.019    0.000 {built-in method builtins.len}
       15    0.019    0.001    0.019    0.001 {pandas._libs.algos.take_2d_axis1_float32_float32}
     3318    0.019    0.000    0.304    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:997(__call__)
84434/84422    0.019    0.000    0.103    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_asarray.py:14(asarray)
    16423    0.018    0.000    0.114    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:223(vstack)
    13386    0.018    0.000    0.019    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:132(geterr)
    47162    0.018    0.000    0.028    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/__init__.py:815(__getitem__)
        2    0.017    0.009    0.017    0.009 {method 'unique' of 'pandas._libs.hashtable.Float64HashTable' objects}
    18448    0.017    0.000    0.170    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:346(xmin)
    42844    0.016    0.000    0.052    0.000 <__array_function__ internals>:2(ndim)
   194301    0.016    0.000    0.016    0.000 {method 'items' of 'dict' objects}
     3318    0.016    0.000    0.773    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cm.py:178(to_rgba)
    95780    0.016    0.000    0.016    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:939(get_points)
    18448    0.016    0.000    0.087    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:356(xmax)
    14928    0.015    0.000    0.082    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3730(filled)
    47460    0.015    0.000    0.357    0.000 <__array_function__ internals>:2(append)
    16403    0.015    0.000    0.020    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:59(_count_reduce_items)
     5156    0.015    0.000    0.021    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2096(_check_isinstance)
    16403    0.015    0.000    0.029    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/histograms.py:283(_ravel_and_check_weights)
    47460    0.015    0.000    0.111    0.000 <__array_function__ internals>:2(ravel)
    25708    0.015    0.000    0.023    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:1316(_replace_dtype_fields)
    80443    0.014    0.000    0.019    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:1363(getmask)
     1658    0.014    0.000    0.218    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/contour.py:1493(_check_xyz)
    18471    0.014    0.000    0.079    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:361(ymax)
     1659    0.014    0.000    0.023    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:193(_to_rgba_no_colorcycle)
    18466    0.014    0.000    0.079    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:351(ymin)
     3360    0.014    0.000    0.014    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:87(_clip_dep_invoke_with_casting)
    35266    0.014    0.000    0.025    0.000 {built-in method builtins.any}
    33653    0.014    0.000    0.021    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:244(iterable)
    16680    0.013    0.000    0.036    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/units.py:58(_is_natively_supported)
    16584    0.013    0.000    0.133    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2048(_process_single_axis)
    87272    0.013    0.000    0.016    0.000 {built-in method builtins.hasattr}
     6630    0.013    0.000    0.033    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2411(<listcomp>)
     1658    0.013    0.000    0.013    0.000 {method 'create_contour' of 'matplotlib.QuadContourGenerator' objects}
    55251    0.013    0.000    0.013    0.000 {built-in method builtins.iter}
     1673    0.013    0.000    0.198    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:731(set_clip_path)
    28199    0.013    0.000    0.085    0.000 {method 'all' of 'numpy.ndarray' objects}
    19900    0.013    0.000    0.039    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1633(safe_first_element)
    92481    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
    50335    0.013    0.000    0.079    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:53(_any)
     9956    0.013    0.000    0.143    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:6549(array)
    23039    0.013    0.000    0.849    0.000 <__array_function__ internals>:2(sort)
     1658    0.013    0.000    0.033    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/contour.py:1146(_contour_level_args)
    26809    0.012    0.000    0.012    0.000 {built-in method builtins.max}
     4977    0.012    0.000    0.125    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:5794(max)
    57117    0.012    0.000    0.012    0.000 {function RcParams.__getitem__ at 0x7fac7f9a0700}
    42844    0.012    0.000    0.018    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3075(ndim)
    16671    0.012    0.000    0.015    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:376(intervalx)
     3316    0.012    0.000    0.078    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3068(__array_wrap__)
    36497    0.012    0.000    0.021    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3636(_get_data)
    13307    0.012    0.000    0.014    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:366(__new__)
     1658    0.012    0.000    0.456    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/collections.py:1253(__init__)
     2036    0.012    0.000    0.017    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:74(__init__)
    58850    0.011    0.000    0.031    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
    18473    0.011    0.000    0.057    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2462(composite_transform_factory)
     3317    0.011    0.000    0.110    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cm.py:148(__init__)
    25473    0.011    0.000    0.029    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1831(__init__)
        3    0.011    0.004    0.011    0.004 {pandas._libs.algos.take_2d_axis0_float64_float64}
     1658    0.011    0.000    0.399    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/contour.py:1466(_contour_args)
     4977    0.011    0.000    0.111    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:5660(min)
     1706    0.011    0.000    0.020    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1924(rotate)
     1680    0.011    0.000    0.125    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/patches.py:746(_update_patch_transform)
     1660    0.011    0.000    0.084    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:4102(meshgrid)
   126409    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
    56785    0.011    0.000    0.011    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:886(<listcomp>)
    16715    0.010    0.000    0.046    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1764(frozen)
    70430    0.010    0.000    0.010    0.000 {built-in method builtins.issubclass}
6893/3514    0.010    0.000    0.039    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2387(get_affine)
     9049    0.010    0.000    0.011    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2131(_check_in_list)
    13268    0.010    0.000    0.010    0.000 {method 'copy' of 'numpy.generic' objects}
     1659    0.010    0.000    0.011    0.000 {built-in method matplotlib._path.update_path_extents}
6662/3331    0.010    0.000    0.081    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2310(frozen)
     2040    0.010    0.000    0.089    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:974(update)
     9955    0.010    0.000    0.012    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:185(process)
     8467    0.010    0.000    0.025    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2290(__init__)
     4976    0.010    0.000    0.118    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:7903(asarray)
     6630    0.009    0.000    0.057    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axis.py:1010(get_inverted)
     3502    0.009    0.000    0.010    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/lines.py:31(_get_dash_pattern)
    11993    0.009    0.000    0.039    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:126(invalidate)
     6633    0.009    0.000    0.090    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cm.py:113(get_cmap)
     3319    0.009    0.000    0.013    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/pyplot.py:600(gcf)
    16403    0.009    0.000    0.186    0.000 <__array_function__ internals>:2(mean)
     1659    0.009    0.000    0.030    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:2336(masked_invalid)
    16404    0.009    0.000    0.164    0.000 <__array_function__ internals>:2(nanmin)
    13369    0.009    0.000    0.043    0.000 {method 'min' of 'numpy.ndarray' objects}
     1658    0.009    0.000   10.961    0.007 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_axes.py:6334(contour)
    87027    0.009    0.000    0.009    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:143(concatenate)
     6630    0.009    0.000    0.023    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2414(<listcomp>)
     3316    0.009    0.000    0.111    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:6697(min)
        3    0.009    0.003    0.046    0.015 /home/luisfigueiredo/.local/lib/python3.8/site-packages/pandas/core/reshape/reshape.py:160(_make_selectors)
     3360    0.009    0.000    0.065    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:106(_clip)
    13304    0.009    0.000    0.009    0.000 {built-in method builtins.min}
